country,combined_kg_per_capita,household_kg_per_capita,household_tonnes,retail_kg_per_capita,retail_tonnes,foodservice_kg_per_capita,foodservice_tonnes,confidence,M49_code,region,source,co2_household,co2_retail,co2_foodservice,total_co2_per_capita
Afghanistan,126,82,3109153,16,594982,28,1051783,Very Low Confidence,4,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2151,205.0,28.8,58.800000000000004,292.6
Albania,127,83,238492,16,45058,28,79651,Very Low Confidence,8,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2160,207.5,28.8,58.800000000000004,295.1
Algeria,135,91,3918529,16,673360,28,1190335,Very Low Confidence,12,Northern Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2107,227.5,28.8,58.800000000000004,315.1
Andorra,123,84,6497,13,988,26,1971,Low Confidence,20,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2161,210.0,23.400000000000002,54.6,288.0
Angola,144,100,3169523,16,497755,28,879908,Very Low Confidence,24,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2176,250.0,28.8,58.800000000000004,337.6
Antigua and Barbuda,113,74,7178,13,1244,26,2483,Low Confidence,28,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2046,185.0,23.400000000000002,54.6,263.0
Argentina,116,72,3243563,16,700380,28,1238100,Very Low Confidence,32,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2047,180.0,28.8,58.800000000000004,267.6
Armenia,137,93,275195,16,46259,28,81775,Very Low Confidence,51,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2227,232.5,28.8,58.800000000000004,320.1
Aruba,113,74,7858,13,1362,26,2718,Low Confidence,533,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2048,185.0,23.400000000000002,54.6,263.0
Australia,133,102,2563110,9,238248,22,546340,High Confidence,36,Australia and New Zealand,https://www.unep.org/resources/report/unep-food-waste-index-report-2021,255.0,16.2,46.2,317.4
